userId,title,predicted_rating
1,"['Dune (2000)', 'Eye for an Eye (1996)', 'On the Trail of the Bremen Town Musicians (1973)', 'Gladiator (1992)', 'Dogville (2003)']","[4.622557640075684, 4.608473300933838, 4.554004669189453, 4.540437698364258, 4.53745698928833]"
10,"['We Were Soldiers (2002)', 'What Lies Beneath (2000)', 'Star Trek IV: The Voyage Home (1986)', 'Benny & Joon (1993)', 'Minions (2015)']","[4.638012886047363, 4.344286918640137, 4.324118137359619, 4.312001705169678, 4.264641284942627]"
100,"['Children of the Corn IV: The Gathering (1996)', 'Patch Adams (1998)', 'Heart and Souls (1993)', 'EuroTrip (2004)', 'All Good Things (2010)']","[4.717223644256592, 4.6698994636535645, 4.647973537445068, 4.6424560546875, 4.628801345825195]"
101,"['Dune (2000)', 'Funny Games U.S. (2007)', 'Autumn Sonata (Höstsonaten) (1978)', ""Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes) (2009)"", 'Day & Night (2010)']","[4.2800750732421875, 4.454801082611084, 4.214970588684082, 4.211007118225098, 4.205140113830566]"
102,"['Dune (2000)', ""Girl Who Kicked the Hornet's Nest, The (Luftslottet som sprängdes) (2009)"", 'Day & Night (2010)', 'Eddie Izzard: Dress to Kill (1999)', 'Anne of Green Gables (1985)']","[4.083487510681152, 4.062256813049316, 4.0196003913879395, 4.000007629394531, 3.979839563369751]"
103,"[""A Dog's Purpose (2017)"", 'Willy/Milly (1986)', 'Fantastic Fear of Everything, A (2012)', 'Siam Sunset (1999)', 'Guy X (2005)']","[4.566677093505859, 4.541574954986572, 4.498768329620361, 4.433064937591553, 4.425886154174805]"
104,"['Fantastic Fear of Everything, A (2012)', 'Siam Sunset (1999)', 'Down Argentine Way (1940)', 'American in Paris, An (1951)', 'Back to the Future Part II (1989)']","[4.110864162445068, 4.001784324645996, 4.088507175445557, 4.070645332336426, 4.03225564956665]"
105,"[""A Dog's Purpose (2017)"", 'Willy/Milly (1986)', 'Siam Sunset (1999)', 'Cottage, The (2008)', 'The Editor (2015)']","[4.557486534118652, 4.46021842956543, 4.436837196350098, 4.442752838134766, 4.429251670837402]"
106,"['Funny Games U.S. (2007)', 'Autumn Sonata (Höstsonaten) (1978)', 'Day & Night (2010)', 'The Adventures of Sherlock Holmes and Doctor Watson: The Treasures of Agra (1983)', 'Beautiful People (1999)']","[4.495262622833252, 4.500763893127441, 4.463442325592041, 4.445886611938477, 4.443224906921387]"
107,"[""A Dog's Purpose (2017)"", 'Willy/Milly (1986)', 'Siam Sunset (1999)', 'The Editor (2015)', 'Tales of Manhattan (1942)']","[4.411843299865723, 4.2340989112854, 4.25465202331543, 4.226500511169434, 4.250345706939697]"
108,"['Funny Games U.S. (2007)', 'Autumn Sonata (Höstsonaten) (1978)', ""A Dog's Purpose (2017)"", 'Shall We Dance (1937)', 'Great Escape, The (1963)']","[4.192264556884766, 4.118687152862549, 4.042317867279053, 3.998645782470703, 3.993607521057129]"
109,"[""A Dog's Purpose (2017)"", 'Willy/Milly (1986)', 'Fantastic Fear of Everything, A (2012)', 'Villain (1971)', 'Phir Hera Pheri (2006)']","[3.9843697547912598, 3.8611533641815186, 3.9031453132629395, 3.8250062465667725, 3.801076650619507]"
11,"['Eye for an Eye (1996)', ""A Dog's Purpose (2017)"", 'The Editor (2015)', 'Tales of Manhattan (1942)', 'Meantime (1984)']","[4.039914131164551, 4.249484539031982, 4.033397197723389, 4.060652256011963, 4.003785133361816]"
110,"['Dune (2000)', 'Andalusian Dog, An (Chien andalou, Un) (1929)', 'Lamerica (1994)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"", 'Burnt by the Sun (Utomlyonnye solntsem) (1994)']","[4.3443450927734375, 4.284191131591797, 4.2790207862854, 4.265350818634033, 4.238197326660156]"
111,"['Phantom of the Paradise (1974)', 'Animal Crackers (1930)', 'Born Yesterday (1950)', 'Tom Segura: Completely Normal (2014)', 'Dazed and Confused (1993)']","[4.552374839782715, 4.537541389465332, 4.4925360679626465, 4.3557538986206055, 4.305419921875]"
